file,lines,status,category,reason,source
.coveragerc,13,supporting,misc,No specific rule matched; defaulting to supporting.,default
.emergent/emergent.yml,5,supporting,misc,No specific rule matched; defaulting to supporting.,default
.emergent/summary.txt,70,supporting,misc,No specific rule matched; defaulting to supporting.,default
.env.example,16,supporting,misc,No specific rule matched; defaulting to supporting.,default
.gitconfig,3,supporting,misc,No specific rule matched; defaulting to supporting.,default
.github/workflows/ci.yml,44,supporting,misc,No specific rule matched; defaulting to supporting.,default
.gitignore,91,supporting,misc,No specific rule matched; defaulting to supporting.,default
.pre-commit-config.yaml,17,supporting,misc,No specific rule matched; defaulting to supporting.,default
.secrets.baseline,143,supporting,misc,No specific rule matched; defaulting to supporting.,default
ARCHITECTURE.md,25,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
BACKLOG.csv,5,supporting,misc,No specific rule matched; defaulting to supporting.,default
CONTRIBUTING.md,71,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
HANDBOOK.md,54,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
Makefile,70,needed,tooling,Tooling required to execute workflows and pipelines.,heuristic
ONBOARDING.md,60,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
README.md,417,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
ROADMAP.md,16,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
analysis/DATA_CONTROL_FLOWS.md,40,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/FILE_SUMMARIES.csv,162,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/OPTIMIZATIONS.md,12,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/TRACEABILITY.csv,8,supporting,analysis,Analytical documentation and reports referenced during audits.,heuristic
analysis/file_usage_report.md,19,not_needed,generated-inventory,Generated markdown summary; regenerate with the inventory script when required.,override
analysis/file_usage_summary.csv,525,not_needed,generated-inventory,CSV export produced by the inventory script; not required for runtime.,override
analysis/file_usage_totals.json,16,not_needed,generated-inventory,Totals JSON generated by the inventory script for reporting convenience.,override
apps/api/FOLDER_README.md,23,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
apps/api/__init__.py,11,needed,core,Core product implementation files.,heuristic
apps/api/app.py,493,needed,core,Core product implementation files.,heuristic
apps/api/normalizers.py,731,needed,core,Core product implementation files.,heuristic
apps/api/pipeline.py,684,needed,core,Core product implementation files.,heuristic
apps/api/requirements-optional.txt,7,needed,core,Core product implementation files.,heuristic
apps/api/requirements.txt,22,needed,core,Core product implementation files.,heuristic
audit/CTEM_ASSESSMENT.md,56,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
audit/GAPS.md,39,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
audit/SECURITY.md,45,supporting,documentation,Human-facing documentation that accelerates onboarding and reviews.,heuristic
backend/__init__.py,5,needed,core,Core product implementation files.,heuristic
backend/app.py,3,needed,core,Core product implementation files.,heuristic
backend/normalizers.py,3,needed,core,Core product implementation files.,heuristic
backend/pipeline.py,3,needed,core,Core product implementation files.,heuristic
backend_test.py,1606,supporting,misc,No specific rule matched; defaulting to supporting.,default
