path,role,key symbols,external calls,risks,flags
apps/api/__init__.py,API,__getattr__,(internal),none,none
apps/api/app.py,API,"generate_access_token, decode_access_token, create_app","__future__, contextlib, csv, datetime, fastapi, io, jwt, logging, normalizers, os, pathlib, pipeline, secrets, tempfile, types, typing, uuid",none,none
apps/api/normalizers.py,API,"SBOMComponent, NormalizedSBOM, CVERecordSummary, NormalizedCVEFeed, SarifFinding, NormalizedSARIF, InputNormalizer","__future__, base64, binascii, contextlib, cvelib, dataclasses, gzip, io, json, lib4sbom, logging, sarif_om, snyk_to_sarif, typing, zipfile",none,none
apps/api/pipeline.py,API,"_lower, evaluate_compliance, PipelineOrchestrator","__future__, collections, json, normalizers, re, typing",none,none
core/__init__.py,Core Logic,(module-level),design_context_injector,none,none
core/ai_agents.py,Core Logic,"_extract_component_name, _tokenise, FrameworkSignature, AIAgentAdvisor","__future__, dataclasses, re, typing",none,none
core/analytics.py,Core Logic,"_validate_run_id, AnalyticsStore, ROIDashboard, FeedbackOutcomeStore","__future__, collections, json, pathlib, time, typing, uuid",none,STUB
core/cli.py,Core Logic,"_apply_env_overrides, _load_design, _load_file, _load_inputs, _load_incident_history, _ensure_inputs, _set_module_enabled, _copy_evidence, _print_summary, _handle_run, _handle_show_overlay, _handle_train_forecast, _handle_demo, build_parser, main","__future__, argparse, csv, json, os, pathlib, sys, typing",none,none
core/compliance.py,Core Logic,ComplianceEvaluator,"__future__, typing",none,none
core/configuration.py,Core Logic,"_read_text, _parse_overlay, _deep_merge, _require_mapping, _require_string, _optional_string, _string_list, _validate_signing_config, _validate_compliance_frameworks, _validate_compliance_controls, _validate_compliance_config, _validate_policy_actions, _validate_policy_config, _validate_policy_engine_config, _OverlayDocument, _resolve_allowlisted_roots, _ensure_within_allowlist, OverlayConfig, load_overlay","__future__, dataclasses, json, os, pathlib, pydantic, typing, yaml",none,none
core/connectors.py,Core Logic,"_mask, ConnectorOutcome, _BaseConnector, JiraConnector, ConfluenceConnector, SlackConnector, AutomationConnectors, summarise_connector","__future__, dataclasses, json, os, requests, typing, urllib",none,none
core/context_engine.py,Core Logic,"ComponentContext, ContextEngine","__future__, dataclasses, typing",none,none
core/demo_runner.py,Core Logic,"_ensure_env_defaults, _read_design, _fixture_path, _bundle_path, _format_summary, _prepare_overlay, run_demo_pipeline","__future__, csv, json, os, pathlib, typing",none,none
core/design_context_injector.py,Core Logic,"PriorProbability, DesignContextInjector","__future__, csv, dataclasses, datetime, enum, importlib, inspect, pathlib, ssvc, typing",none,STUB
core/evidence.py,Core Logic,EvidenceHub,"__future__, cryptography, gzip, json, os, pathlib, re, typing, uuid",none,none
core/exploit_signals.py,Core Logic,"_iter_dict, _extract_value, ExploitSignal, ExploitSignalEvaluator, ExploitFeedRefresher, _refresh_named_feed, load_latest_kev_feed, load_latest_epss_feed, refresh_exploit_feeds, _start_scheduler","__future__, apscheduler, atexit, dataclasses, datetime, json, logging, pathlib, requests, typing",none,none
core/feature_matrix.py,Core Logic,"_as_mapping, _as_sequence, _to_int, _to_float, _guardrail_metrics, _context_metrics, _onboarding_metrics, _compliance_metrics, _policy_metrics, _evidence_metrics, _analytics_metrics, _ai_metrics, _exploit_metrics, _probabilistic_metrics, _ssdlc_metrics, _iac_metrics, _tenancy_metrics, _performance_metrics, _pricing_metrics, build_feature_matrix","__future__, collections, typing",none,none
core/feedback.py,Core Logic,FeedbackRecorder,"__future__, html, json, logging, pathlib, re, time, typing",none,none
core/iac.py,Core Logic,"_normalise_tokens, IACTarget, IaCPostureEvaluator","__future__, dataclasses, typing",none,none
core/modules.py,Core Logic,"PipelineContext, _resolve_callable, execute_custom_modules","__future__, dataclasses, importlib, typing",none,none
core/onboarding.py,Core Logic,OnboardingGuide,"__future__, typing",none,none
core/paths.py,Core Logic,"_current_uid, _validate_directory_security, ensure_secure_directory, verify_allowlisted_path","__future__, os, pathlib, stat, typing",none,STUB
core/performance.py,Core Logic,PerformanceSimulator,"__future__, typing",none,none
core/policy.py,Core Logic,"_AutomationDispatcher, PolicyAutomation","__future__, datetime, json, pathlib, typing, uuid",none,none
core/probabilistic.py,Core Logic,"_coerce_severity, _extract_state_sequence, _severity_index, _normalise_transition_row, _normalise_prior, _entropy, _highest_severity, ComponentForecast, CalibrationResult, ProbabilisticForecastEngine","__future__, dataclasses, math, typing",none,none
core/ssdlc.py,Core Logic,"RequirementResult, StageResult, SSDLCEvaluator","__future__, dataclasses, typing",none,none
core/storage.py,Core Logic,"_serialise_payload, ArtefactArchive","__future__, datetime, json, pathlib, typing, uuid",none,none
core/tenancy.py,Core Logic,TenantLifecycleManager,"__future__, collections, typing",none,none
enterprise/create_admin_user.py,Enterprise Overlay,create_admin_user,"asyncio, bcrypt, datetime, sqlalchemy, src",none,none
enterprise/create_all_tables.py,Enterprise Overlay,create_all_tables,"asyncio, sqlalchemy, src, structlog",none,none
enterprise/frontend/node_modules/flatted/python/flatted.py,Enterprise Overlay,"_Known, _String, _array_keys, _object_keys, _is_array, _is_object, _is_string, _index, _loop, _ref, _relate, _transform, _wrap, parse, stringify",json,bare-except,none
