component,subcomponent,owner,customer_impact,data_classification,exposure,description,control_scope
web,storefront,frontend-team,mission_critical,pii,internet,"React e-commerce storefront with product catalog and search","SOC2,ISO27001,PCI,GDPR"
web,admin-dashboard,admin-team,external,pii,internal,"Admin dashboard for inventory management and order fulfillment","SOC2,ISO27001"
api,product-catalog-service,catalog-team,mission_critical,public,internet,"Product catalog search and recommendation engine","SOC2,ISO27001"
api,cart-service,cart-team,mission_critical,pii,internet,"Shopping cart management and session handling","SOC2,ISO27001,PCI"
api,checkout-service,checkout-team,mission_critical,financial,internet,"Checkout flow payment processing and order creation","SOC2,ISO27001,PCI,GDPR"
api,order-management-service,order-team,mission_critical,pii,internet,"Order tracking fulfillment and shipping integration","SOC2,ISO27001"
api,user-service,user-team,mission_critical,pii,internet,"User authentication profile management and preferences","SOC2,ISO27001,GDPR"
api,recommendation-engine,ml-team,external,pii,internal,"ML-based product recommendations and personalization","SOC2,ISO27001,GDPR"
db,users-db,platform-team,mission_critical,pii,internal,"PostgreSQL storing customer accounts emails and addresses","SOC2,ISO27001,PCI,GDPR"
db,orders-db,platform-team,mission_critical,financial,internal,"MongoDB storing order history and transaction records","SOC2,ISO27001,PCI"
db,products-db,platform-team,external,public,internal,"Product catalog inventory and pricing data","SOC2,ISO27001"
cache,redis-cache,platform-team,mission_critical,pii,internal,"Redis for session management and cart persistence","SOC2,ISO27001"
esb,payment-gateway,payments-team,mission_critical,financial,partner,"Stripe and PayPal payment processing integration","PCI,SOC2,ISO27001"
esb,shipping-gateway,logistics-team,external,pii,partner,"FedEx UPS and USPS shipping label generation","SOC2,ISO27001"
integration,inventory-sync,integration-team,external,public,partner,"Real-time inventory sync with warehouse management system","SOC2,ISO27001"
integration,email-service,messaging-team,external,pii,partner,"SendGrid for order confirmations and marketing emails","SOC2,ISO27001,GDPR"
analytics,customer-analytics,analytics-team,external,pii,internal,"Customer behavior tracking and conversion analytics","SOC2,ISO27001,GDPR"
cdn,cloudfront-cdn,platform-team,mission_critical,public,internet,"CloudFront CDN for static assets and product images","SOC2,ISO27001"
